goos: darwin
goarch: arm64
pkg: gocurrencylearning/kvstore
cpu: Apple M1
BenchmarkSet-8                                 	60199732	        19.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59110752	        19.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	60694063	        21.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59624611	        19.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59972636	        19.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59790854	        19.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59851866	        19.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	58740264	        20.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	58566260	        19.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet-8                                 	59281458	        19.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82543011	        14.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82696597	        14.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82952889	        15.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	78979192	        14.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	83444638	        14.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82254219	        14.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	84076057	        14.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	84113373	        14.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82874124	        14.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8                                 	82399426	        14.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	14554333	        81.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	14697566	        82.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	14295116	        79.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	14917332	        82.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	15188655	        77.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	15268744	        72.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	16952125	        79.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	15234072	        77.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	16676918	        75.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetParallel-8                         	14785153	        80.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	31381710	        38.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	29568180	        40.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	29498252	        38.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	29799360	        39.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	30096433	        39.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	30631486	        39.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	30084738	        39.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	30278976	        39.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	31031473	        39.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixed-8                               	30238886	        39.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5250925	       232.1 ns/op	      17 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5250525	       227.0 ns/op	      16 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5389036	       219.3 ns/op	      14 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 6409950	       219.2 ns/op	      15 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5934290	       195.8 ns/op	      13 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5426330	       223.3 ns/op	      16 B/op	       0 allocs/op
BenchmarkGetDuringBroadcast_SnapshotNotify-8   	 5412750	       225.4 ns/op	      16 B/op	       0 allocs/op
